Ref,Val,Package,PosX,PosY,Rot,Side
"C11","10uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",-11.685000,7.860000,-90.000000,bottom
"C12","10uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",-45.560000,7.660000,-90.000000,bottom
"C13","10uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",-42.760000,7.660000,-90.000000,bottom
"C14","10uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",-37.260000,7.660000,-90.000000,bottom
"C15","10uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",-22.435000,7.835000,-90.000000,bottom
"C16","10uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",-61.310000,8.485000,-90.000000,bottom
"C17","10uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",-43.810000,15.010000,90.000000,bottom
"C18","10uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",-31.360000,14.997500,90.000000,bottom
"C19","10uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",-39.960000,7.697500,-90.000000,bottom
"C20","1nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-15.210000,30.310000,-90.000000,bottom
"C21","10uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",-28.135000,7.835000,-90.000000,bottom
"C22","1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-52.941005,34.853505,-90.000000,bottom
"C24","1uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",-60.376585,36.068783,-90.000000,bottom
"C25","10uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",-58.560000,8.485000,-90.000000,bottom
"C26","10uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",-55.860000,8.485000,-90.000000,bottom
"C27","10uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",-25.235000,7.835000,-90.000000,bottom
"C29","1nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-24.685000,27.310000,90.000000,bottom
"C30","1nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-19.160000,25.960000,180.000000,bottom
"C37","10uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",-4.310000,7.860000,-90.000000,bottom
"C38","10uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",-15.610000,15.785000,90.000000,bottom
"C39","10uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",-6.760000,7.860000,-90.000000,bottom
"C40","10uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",-19.235000,14.835000,90.000000,bottom
"C44","220uF","CP_Elec_8x10.5",-8.990000,16.656000,90.000000,bottom
"C45","220uF","CP_Elec_8x10.5",-24.992000,16.656000,90.000000,bottom
"C46","10uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",-9.210000,7.860000,-90.000000,bottom
"C47","220uF","CP_Elec_8x10.5",-37.946000,16.656000,90.000000,bottom
"C48","220uF","CP_Elec_8x10.5",-49.630000,16.630000,90.000000,bottom
"C49","10uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",-55.400000,16.070000,90.000000,bottom
"C50","10uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",-56.860000,22.910000,0.000000,bottom
"C51","10uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",-56.840000,20.460000,0.000000,bottom
"C54","0.1uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-44.009999,41.001100,90.000000,bottom
"C55","1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-60.760000,41.310000,0.000000,bottom
"C56","1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-56.560000,45.610000,180.000000,bottom
"D12","VCUT0714A-HD1-GS08","DIO_VCUT0714A-HD1-GS08",-44.335000,46.868600,0.000000,bottom
"D13","VCUT0714A-HD1-GS08","DIO_VCUT0714A-HD1-GS08",-45.660000,48.293601,0.000000,bottom
"D14","VCUT0714A-HD1-GS08","DIO_VCUT0714A-HD1-GS08",-48.160000,48.268600,180.000000,bottom
"D15","VCUT0714A-HD1-GS08","DIO_VCUT0714A-HD1-GS08",-49.385000,46.868600,0.000000,bottom
"L1","47uH","LQH44PH330MPRL",-55.862500,42.160000,180.000000,bottom
"R10","10k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",-58.197260,39.110000,0.000000,bottom
"R13","6.8k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",-16.385000,49.285000,180.000000,bottom
"R14","100R","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",-17.060000,29.710000,0.000000,bottom
"R17","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",-44.910000,37.593600,180.000000,bottom
"R19","100R","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",-26.610000,26.685000,0.000000,bottom
"R20","100R","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",-20.360000,27.060000,0.000000,bottom
"R23","10k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",-15.630000,45.700000,180.000000,bottom
"R24","6.8k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",-16.682500,51.235000,180.000000,bottom
"R25","13.2k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",-19.182500,51.235000,180.000000,bottom
"R27","13.2k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",-18.835000,49.260000,180.000000,bottom
"U1","MAX15062B","DFN-8_2x2mm_P0.5mm",-55.391005,37.166005,90.000000,bottom
"U7","TLV73333PDBV","SOT-23-5",-60.866254,44.478995,90.000000,bottom
"U8","THVD1551D","VSSOP-8_3.0x3.0mm_P0.65mm",-46.385000,42.610000,90.000000,bottom
