Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-9.735000,39.052500,90.000000,top
"C2","0.1uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-11.835000,34.935000,0.000000,top
"C3","0.1uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-23.985000,36.110000,180.000000,top
"C4","0.1uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-9.860000,44.285000,-90.000000,top
"C5","0.1uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-21.452500,49.335000,180.000000,top
"C6","4.7uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-23.985000,35.010000,180.000000,top
"C7","10nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-24.235000,47.477500,90.000000,top
"C8","1uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-23.110000,47.477500,90.000000,top
"C9","0.1uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-28.167500,45.510000,0.000000,top
"C10","1uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-21.452500,48.285000,180.000000,top
"C23","10uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",-43.635000,31.785000,90.000000,top
"C28","10uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",-59.772500,41.260000,0.000000,top
"C31","0.1uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-9.785000,36.660000,90.000000,top
"C32","10uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-28.067500,47.735000,0.000000,top
"C33","0.1uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-31.627500,48.410000,0.000000,top
"C34","10uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-31.627500,47.410000,0.000000,top
"C35","0.1uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-28.420000,42.700000,0.000000,top
