Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20
Source:;C:\Users\Yassine Bakkali\Documents\Xplore\HW\AV_HW_workspace\ESC_board\ESC_board\ESC_board.kicad_sch;;;;;;;;;;;;;;;;;;
Date:;29.01.2023 22:56:10;;;;;;;;;;;;;;;;;;
Tool:;Eeschema (6.0.4);;;;;;;;;;;;;;;;;;
Generator:;C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py;;;;;;;;;;;;;;;;;;
Component Count:;130;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Individual Components:;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Item;Qty;Reference(s);Value;LibPart;Footprint;Datasheet;Arrow Part Number;Arrow Price/Stock;Description;Digikey link;Height;ID;Manufacturer product name;Manufacturer_Name;Manufacturer_Part_Number;Material;Mouser Part Number;Mouser Price/Stock;Voltage
;;C1;100nF;Device:C_Small;Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder;~;;;;;;;;;;;;;
;;C2;100nF;Device:C_Small;Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder;~;;;;;;;;;;;;;
;;C3;100nF;Device:C_Small;Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder;~;;;;;;;;;;;;;
;;C4;100nF;Device:C_Small;Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder;~;;;;;;;;;;;;;
;;C5;100nF;Device:C_Small;Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder;~;;;;;;;;;;;;;
;;C6;4.7uF;Device:C_Small;Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder;~;;;;;;;;;;;;;
;;C7;10nF;Device:C_Small;Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder;~;;;;;;;;;;;;;
;;C8;1uF;Device:C_Small;Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder;~;;;;;;;;;;;;;
;;C9;100nF;Device:C_Small;Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder;~;;;;;;;;;;;;;
;;C10;1uF;Device:C_Small;Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder;~;;;;;;;;;;;;;
;;C11;10uF;Device:C_Small;Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder;~;;;;;;;;;;;;;
;;C12;10uF;Device:C_Small;Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder;~;;;;;;;;;;;;;
;;C13;10uF;Device:C_Small;Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder;~;;;;;;;;;;;;;
;;C14;10uF;Device:C_Small;Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder;~;;;;;;;;;;;;;
;;C15;10uF;Device:C_Small;Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder;~;;;;;;;;;;;;;
;;C16;10uF;Device:C_Small;Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder;~;;;;;;;;;;;;;
;;C17;10uF;Device:C_Small;Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder;~;;;;;;;;;;;;;
;;C18;10uF;Device:C_Small;Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder;~;;;;;;;;;;;;;
;;C19;10uF;Device:C_Small;Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder;~;;;;;;;;;;;;;
;;C20;10uF;Device:C_Small;Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder;~;;;;;;;;;;;;;
;;C21;10uF;Device:C_Small;Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder;~;;;;;;;;;;;;;
;;C22;47uF;Device:C_Small;Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder;~;;;;;;;;;;;;;
;;C23;10uF;Device:C_Small;Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder;~;;;;;;;;;;;;;
;;C24;0.1uF;Device:C_Small;Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder;~;;;;;;;;;;;;;
;;C25;10uF;Device:C_Small;Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder;~;;;;;;;;;;;;;
;;C26;10uF;Device:C_Small;Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder;~;;;;;;;;;;;;;
;;C27;10uF;Device:C_Small;Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder;~;;;;;;;;;;;;;
;;C28;0.1uF;Device:C_Small;Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder;~;;;;;;;;;;;;;
;;C29;DNP;Device:C_Small;Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder;~;;;;;;;;;;;;;
;;C30;DNP;Device:C_Small;Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder;~;;;;;;;;;;;;;
;;C31;47uF;Device:C_Polarized_Small_US;Capacitor_Tantalum_SMD:CP_EIA-7132-20_AVX-U_Pad2.72x3.50mm_HandSolder;~;;;;;;594D476X0016C2T;;;;;;;
;;C32;DNP;Device:C_Small;Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder;~;;;;;;;;;;;;;
;;C33;DNP;Device:C_Small;Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder;~;;;;;;;;;;;;;
;;C34;DNP;Device:C_Small;Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder;~;;;;;;;;;;;;;
;;C35;DNP;Device:C_Small;Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder;~;;;;;;;;;;;;;
;;C36;DNP;Device:C_Small;Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder;~;;;;;;;;;;;;;
;;C37;DNP;Device:C_Small;Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder;~;;;;;;;;;;;;;
;;C38;DNP;Device:C_Small;Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder;~;;;;;;;;;;;;;
;;C39;DNP;Device:C_Small;Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder;~;;;;;;;;;;;;;
;;C40;DNP;Device:C_Small;Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder;~;;;;;;;;;;;;;
;;C41;0.1uF;Device:C_Small;Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder;~;;;;;;;;;;;;;
;;C42;0.1uF;Device:C_Small;Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder;~;;;;;;;;;;X7R;;;48V
;;C43;0.1uF;Device:C_Small;Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder;~;;;;;;;;;;X7R;;;60V
;;C44;0.1uF;Device:C_Small;Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder;~;;;;;;;;;;;;;
;;C45;0.1uF;Device:C_Small;Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder;~;;;;;;;;;;X7R;;;48V
;;C46;10uF;Device:C_Polarized_Small_US;Capacitor_SMD:CP_Elec_5x5.8;~;;;;https://www.digikey.ch/en/products/detail/panasonic-electronic-components/EEE-FT1H100AR/2652052;;;EEE-FT1H100AR;;;;;;
;;C47;0.1uF;Device:C_Small;Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder;~;;;;;;;;;;X7R;;;48V
;;C48;0.1uF;Device:C_Small;Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder;~;;;;;;;;;;;;;
;;C49;47nF;Device:C_Small;Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder;~;;;;;;;;;;X7R;;;48V
;;C50;1uF;Device:C_Small;Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder;~;;;;;;;;;;X7R;;;16V
;;C51;1uF;Device:C_Small;Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder;~;;;;;;;;;;X7R;;;6.3V
;;C52;0.1uF;Device:C;Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder;~;;;;;;;;;;;;;
;;C53;0.1uF;Device:C;Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder;~;;;;;;;;;;;;;
;;C54;0.1uF;Device:C_Small;Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder;~;;;;;;;;;;;;;
;;C_bypass1;0.1uF;Device:C_Small;Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder;~;;;;;;;;;;X7R;;;60V
;;C_bypass2;0.1uF;Device:C_Small;Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder;~;;;;;;;;;;X7R;;;60V
;;C_bypass3;0.1uF;Device:C_Small;Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder;~;;;;;;;;;;X7R;;;60V
;;D1;VSSAF5M6-M3/H;Device:D_Schottky;lib:SODFL5226X100N;~;;;;;;;;;;;;;
;;D2;BAT41ZFILM;Device:D_Schottky_Small;Diode_SMD:D_SOD-523;https://www.mouser.ch/datasheet/2/389/bat41-1848934.pdf;;;;;;;;;;;;;
;;D3;BAT41ZFILM;Device:D_Schottky_Small;Diode_SMD:D_SOD-523;https://www.mouser.ch/datasheet/2/389/bat41-1848934.pdf;;;;;;;;;;;;;
;;D4;BAT41ZFILM;Device:D_Schottky_Small;Diode_SMD:D_SOD-523;https://www.mouser.ch/datasheet/2/389/bat41-1848934.pdf;;;;;;;;;;;;;
;;D5;BAT41ZFILM;Device:D_Schottky_Small;Diode_SMD:D_SOD-523;https://www.mouser.ch/datasheet/2/389/bat41-1848934.pdf;;;;;;;;;;;;;
;;D6;BAT41ZFILM;Device:D_Schottky_Small;Diode_SMD:D_SOD-523;https://www.mouser.ch/datasheet/2/389/bat41-1848934.pdf;;;;;;;;;;;;;
;;D7;BAT41ZFILM;Device:D_Schottky_Small;Diode_SMD:D_SOD-523;https://www.mouser.ch/datasheet/2/389/bat41-1848934.pdf;;;;;;;;;;;;;
;;D8;BAT41ZFILM;Device:D_Schottky_Small;Diode_SMD:D_SOD-523;https://www.mouser.ch/datasheet/2/389/bat41-1848934.pdf;;;;;;;;;;;;;
;;D9;BAT41ZFILM;Device:D_Schottky_Small;Diode_SMD:D_SOD-523;https://www.mouser.ch/datasheet/2/389/bat41-1848934.pdf;;;;;;;;;;;;;
;;D10;BAT41ZFILM;Device:D_Schottky_Small;Diode_SMD:D_SOD-523;https://www.mouser.ch/datasheet/2/389/bat41-1848934.pdf;;;;;;;;;;;;;
;;D11;PESD2CANFD24U-TR;custom_lib:PESD2CANFD24LT-Q;Package_TO_SOT_SMD:SC-59_Handsoldering;;;;;;;;;;;;;;
;;D12;PESD2CANFD24U-TR;custom_lib:PESD2CANFD24LT-Q;Package_TO_SOT_SMD:SC-59_Handsoldering;;;;;;;;;;;;;;
;;D13;PESD2CANFD24U-TR;custom_lib:PESD2CANFD24LT-Q;Package_TO_SOT_SMD:SC-59_Handsoldering;;;;;;;;;;;;;;
;;H1;MountingHole;Mechanical:MountingHole;MountingHole:MountingHole_2.2mm_M2_Pad_Via;~;;;;;;;;;;;;;
;;H2;MountingHole;Mechanical:MountingHole;MountingHole:MountingHole_2.2mm_M2_Pad_Via;~;;;;;;;;;;;;;
;;H3;MountingHole;Mechanical:MountingHole;MountingHole:MountingHole_2.2mm_M2_Pad_Via;~;;;;;;;;;;;;;
;;H4;MountingHole;Mechanical:MountingHole;MountingHole:MountingHole_2.2mm_M2_Pad_Via;~;;;;;;;;;;;;;
;;IC1;STM32G473RBT6;custom_lib:STM32G473RBT6;QFP50P1200X1200X160-64N;https://www.st.com/resource/en/datasheet/stm32g473cb.pdf;STM32G473RBT6;https://www.arrow.com/en/products/stm32g473rbt6/stmicroelectronics;ARM Microcontrollers - MCU;;1.6;;;STMicroelectronics;STM32G473RBT6;;511-STM32G473RBT6;https://www.mouser.co.uk/ProductDetail/STMicroelectronics/STM32G473RBT6?qs=uwxL4vQweFOUTGDLzGdZHA%3D%3D;
;;IC2;~;custom_lib:DRV8320RHRHAT;Package_DFN_QFN:Texas_S-PVQFN-N40_EP4.15x4.15mm_ThermalVias;http://www.ti.com/lit/gpn/DRV8320R;;;60V Three-Phase Smart Gate Driver With Buck Regulator;;1;;;Texas Instruments;DRV8320RHRHAT;;595-DRV8320RHRHAT;https://www.mouser.co.uk/ProductDetail/Texas-Instruments/DRV8320RHRHAT?qs=Mv7BduZupUhUS%252B3968HKpA%3D%3D;
;;IC3;SN65HVD74DR;custom_lib:SN65HVD74DR;SOIC127P600X175-8N;http://www.ti.com/lit/gpn/sn65hvd74;;;3.3V, Full-Duplex RS-485, 12kV IEC ESD, 20Mbps data rate, No Enables;;1.75;;;Texas Instruments;SN65HVD74DR;;595-SN65HVD74DR;https://www.mouser.co.uk/ProductDetail/Texas-Instruments/SN65HVD74DR?qs=7z%252BmIopC6%2FJpKaT8kJp5Mw%3D%3D;
;;J1;SWD_Connector(02x05);Connector_Generic:Conn_02x05_Odd_Even;;~;;;;;;;;;;;;;
;;J2;Conn_01x05;Connector_Generic:Conn_01x05;;~;;;;;;;;;;;;;
;;J3;Conn_01x04;Connector_Generic:Conn_01x04;;~;;;;;;;;;;;;;
;;J4;Motor_connector(01x02);Connector_Generic:Conn_01x02;;~;;;;;;;;;;;;;
;;J5;Conn_01x03;Connector_Generic:Conn_01x03;TerminalBlock:TerminalBlock_Altech_AK300-3_P5.00mm;~;;;;;;;;;;;;;
;;J6;Conn_01x03;Connector_Generic:Conn_01x03;;~;;;;;;;;;;;;;
;;J7;Conn_01x06;Connector_Generic:Conn_01x06;;~;;;;;;;;;;;;;
;;JP1;SolderJumper_3_Open;Jumper:SolderJumper_3_Open;Jumper:SolderJumper-3_P2.0mm_Open_TrianglePad1.0x1.5mm_NumberLabels;~;;;;;;;;;;;;;
;;L1;150uH;Device:L_Small;;~;;;;;;104CDMCCDS-150MC;;;;;;;
;;Q1;TPH2R306NH1,LQ;:Q_NMOS_DGS_1;lib:TPH2R306NH1LQ;https://toshiba.semicon-storage.com/info/TPH2R506PL_datasheet_en_20191017.pdf?did=55522&prodName=TPH2R506PL;;;;;;;;;;;;;
;;Q2;TPH2R306NH1,LQ;Device:Q_NMOS_DGS;lib:TPH2R306NH1LQ;https://toshiba.semicon-storage.com/info/TPH2R506PL_datasheet_en_20191017.pdf?did=55522&prodName=TPH2R506PL;;;;;;;;;;;;;
;;Q3;TPH2R306NH1,LQ;Device:Q_NMOS_DGS;lib:TPH2R306NH1LQ;https://toshiba.semicon-storage.com/info/TPH2R506PL_datasheet_en_20191017.pdf?did=55522&prodName=TPH2R506PL;;;;;;;;;;;;;
;;Q4;TPH2R306NH1,LQ;Device:Q_NMOS_DGS;lib:TPH2R306NH1LQ;https://toshiba.semicon-storage.com/info/TPH2R506PL_datasheet_en_20191017.pdf?did=55522&prodName=TPH2R506PL;;;;;;;;;;;;;
;;Q5;TPH2R306NH1,LQ;Device:Q_NMOS_DGS;lib:TPH2R306NH1LQ;https://toshiba.semicon-storage.com/info/TPH2R506PL_datasheet_en_20191017.pdf?did=55522&prodName=TPH2R506PL;;;;;;;;;;;;;
;;Q6;TPH2R306NH1,LQ;Device:Q_NMOS_DGS;lib:TPH2R306NH1LQ;https://toshiba.semicon-storage.com/info/TPH2R506PL_datasheet_en_20191017.pdf?did=55522&prodName=TPH2R506PL;;;;;;;;;;;;;
;;R1;10k;Device:R_Small;Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder;~;;;;;;;;;;;;;
;;R2;1M;Device:R_Small;Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder;~;;;;;;;;;;;;;
;;R3;384k;Device:R_Small;Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder;~;;;;;;;;;;;;;
;;R4;10R;Device:R_Small;Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder;~;;;;;;;;;;;;;
;;R5;10R;Device:R_Small;Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder;~;;;;;;;;;;;;;
;;R6;DNP;Device:R_Small;Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder;~;;;;;;;;;;;;;
;;R7;10R;Device:R_Small;Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder;~;;;;;;;;;;;;;
;;R8;10R;Device:R_Small;Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder;~;;;;;;;;;;;;;
;;R9;10k;Device:R;Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder;~;;;;;;;;;;;;;
;;R10;10R;Device:R_Small;Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder;~;;;;;;;;;;;;;
;;R11;10R;Device:R_Small;Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder;~;;;;;;;;;;;;;
