"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J4,J3,J2,J1";"Molex_CLIK-Mate_505405-0470_1x04-1MP_P1.50mm_Vertical";4;"CLIK-Mate 502584";;;
2;"U4,U2";"SOT-23";2;"PESD2CANFD27V-TR";;;
3;"J5";"PinSocket_2x20_P2.54mm_Vertical";1;"02x20 2.54 mm Female Socket";;;
4;"C2,C8,C7,C3";"C_0402_1005Metric";4;"100nF";;;
5;"J6";"PinSocket_2x12_P2.54mm_Vertical";1;"24 Pin Header";;;
6;"C5,C10";"C_0402_1005Metric";2;"4.7nF";;;
7;"FL1,FL2";"ACE1V2012-222-R";2;"ACE1V2012-222-R";;;
8;"R6,R5,R2,R3";"R_0603_1608Metric";4;"60R";;;
9;"R1,R4";"R_0402_1005Metric";2;"4k7";;;
10;"C6,C4,C9,C1";"C_0402_1005Metric";4;"4.7uF";;;
11;"U1,U3";"HVSON-8-1EP_3x3mm_P0.65mm_EP1.6x2.4mm_ThermalVias";2;"TCAN1051HGVDRBRQ1";;;
