Reference, Quantity, Value, Footprint, Datasheet, Digikey ref, Manufacturer ref, TME ref
C1 C2 C3 C4 C5 ,5,100nF,Capacitor_SMD:C_0603_1608Metric,,478-5778-1-ND,06035C104JAT2A,
J1 J3 J11 J12 ,4,Conn_01x03,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,,,,
J10 ,1,Conn_Picoblade_DEBUG3,0_connectors:Molex_PicoBlade_53047-0610_1x06_P1.25mm_Vertical,https://www.molex.com/pdm_docs/sd/530470610_sd.pdf,WM1735-ND,530470610,
J16 ,1,Conn_Picoblade_DEBUG4,0_connectors:Molex_PicoBlade_53047-0610_1x06_P1.25mm_Vertical,https://www.molex.com/pdm_docs/sd/530470610_sd.pdf,WM1735-ND,530470610,
J17 J20 J21 J22 J23 ,5,XT30PW-M/Terminal block,0_connectors:AMASS_XT30PW-M_1x02_P2.50mm_Horizontal,https://www.tme.eu/Document/6eb2005a51a52592b3f19e8a450c54c8/XT30PW-M.pdf,,XT30PW-M,XT30PW-M
J2 J4 J14 J15 ,4,Conn_Picoblade_UART,0_connectors:Molex_PicoBlade_53047-0410_1x04_P1.25mm_Vertical,https://www.molex.com/pdm_docs/sd/530470410_sd.pdf,WM1733-ND,530470410,
J5 J6 J7 J13 ,4,SWD_02x05_1.27mm,0_connectors:3220-10-0100-00,http://www.cnctech.us/pdfs/3220-XX-0100-00_.pdf,1175-1627-ND,3220-10-0100-00,
J8 ,1,Conn_Picoblade_DEBUG1,0_connectors:Molex_PicoBlade_53047-0610_1x06_P1.25mm_Vertical,https://www.molex.com/pdm_docs/sd/530470610_sd.pdf,WM1735-ND,530470610,
J9 ,1,Conn_Picoblade_DEBUG2,0_connectors:Molex_PicoBlade_53047-0610_1x06_P1.25mm_Vertical,https://www.molex.com/pdm_docs/sd/530470610_sd.pdf,WM1735-ND,530470610,
U1 ,1,TRSF3232EIPWR,Package_SO:TSSOP-16_4.4x5mm_P0.65mm,https://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Ftrsf3232e,296-25093-1-ND,TRSF3232EIPWR,
